trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
621,False,"{'a': 0.1, 'e': 0.5873180043458551}",20,0,-77.04978970866851,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
622,False,"{'a': 0.1, 'e': 0.5627092890307716}",30,0,-141.2580478226339,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
623,False,"{'a': 0.1, 'e': 0.5840149710153585}",30,0,-175.223803383575,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
624,False,"{'a': 0.1, 'e': 0.6459898554935675}",20,15,9.91599192957667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.1, 'e': 0.733433686334602}",20,0,-42.53438740090612,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
626,False,"{'a': 0.1, 'e': 0.8249144265078993}",25,0,-65.45849863165228,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
627,False,"{'a': 0.1, 'e': 0.8980163396277621}",25,0,-164.49465617495008,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
628,False,"{'a': 0.1, 'e': 0.9348277703539215}",30,0,-201.00842031711306,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
629,False,"{'a': 0.1, 'e': 0.9263251150937295}",25,0,-126.16591705905284,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 0}",0
630,False,"{'a': 0.1, 'e': 0.8745799835139935}",25,0,-3.9943822913455636,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
631,False,"{'a': 0.1, 'e': 0.7922496825773919}",20,0,-76.45807649927829,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
632,False,"{'a': 0.1, 'e': 0.6994763368477791}",35,0,-173.38089614039842,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
633,False,"{'a': 0.1, 'e': 0.6189543209722387}",20,0,-3.7527487748693464,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
634,False,"{'a': 0.1, 'e': 0.5703739315915927}",20,0,-24.604655197704783,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
635,False,"{'a': 0.1, 'e': 0.5656016702391008}",35,15,-122.50257889713899,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
636,False,"{'a': 0.1, 'e': 0.6057768894691827}",25,0,-47.438697802572264,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
637,False,"{'a': 0.1, 'e': 0.6810351598358482}",35,0,-198.38518761098064,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
638,False,"{'a': 0.1, 'e': 0.7729255190616409}",25,0,-134.9972629370881,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
639,False,"{'a': 0.1, 'e': 0.8589292641039887}",25,0,-163.23748624527397,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
640,False,"{'a': 0.1, 'e': 0.917973596960899}",20,10,-13.198778819069293,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
641,False,"{'a': 0.1, 'e': 0.9355901224004528}",20,0,-116.26810036193692,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
642,False,"{'a': 0.1, 'e': 0.9074554275687435}",20,0,-47.25988345460232,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
643,False,"{'a': 0.1, 'e': 0.8404473239071393}",20,0,-55.6161807977997,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
644,False,"{'a': 0.1, 'e': 0.7509587048250124}",20,0,-28.1246765869157,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
645,False,"{'a': 0.1, 'e': 0.6608823876928195}",20,0,-90.89713677688012,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
646,False,"{'a': 0.1, 'e': 0.5922503840686206}",30,0,-23.79295827127815,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
647,False,"{'a': 0.1, 'e': 0.5618402397816622}",30,16,-11.879137113483907,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
648,False,"{'a': 0.1, 'e': 0.5770688675189675}",25,0,-24.985065303938377,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
649,False,"{'a': 0.1, 'e': 0.6341788227320596}",20,0,-125.06416018071141,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
650,False,"{'a': 0.1, 'e': 0.7191605484125414}",20,3,-68.03092782741932,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
651,False,"{'a': 0.1, 'e': 0.8111842300597674}",20,0,-74.937854222725,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
652,False,"{'a': 0.1, 'e': 0.8877005757871956}",30,15,-13.5694971687995,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
653,False,"{'a': 0.1, 'e': 0.9299614486649592}",30,14,-55.421406770401184,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
654,False,"{'a': 0.1, 'e': 0.9276087620085601}",20,13,-33.16964433768349,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
655,False,"{'a': 0.1, 'e': 0.88120843490011}",20,0,-69.08502162711976,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
656,False,"{'a': 0.1, 'e': 0.8021095129254497}",20,0,-52.894211928505925,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
657,False,"{'a': 0.1, 'e': 0.7096635149214718}",25,0,-52.41414847088113,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
658,False,"{'a': 0.1, 'e': 0.6264852990114566}",25,3,-84.77390887301127,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 2}",1
